---Publications---

[
{ id : 372, company : 'Samsung', value : { symbol :=', value :84.170049}, variation : { symbol :<= , value :23.133030}, date : 25.2.2020}
{ id : 373, company : 'AMD', value : { symbol :<=', value :68.944365}, variation : { symbol :>= , value :97.845393}, date : 18.7.2033}
{ id : 374, company : 'Ferrari', value : { symbol :<=', value :30.225532}, variation : { symbol :<= , value :50.086978}, date : 1.1.2001}
{ id : 375, company : 'Acer', value : { symbol :=', value :26.026185}, variation : { symbol :>= , value :51.136814}, date : 17.10.2037}
{ id : 376, company : 'Mercedes', value : { symbol :=', value :54.963836}, variation : { symbol :> , value :12.778100}, date : 12.6.2012}
{ id : 377, company : 'Telekom', value : { symbol :>=', value :76.186407}, variation : { symbol := , value :66.612751}, date : 5.3.2040}
{ id : 378, company : 'Ubisoft', value : { symbol :>=', value :16.806543}, variation : { symbol :> , value :30.842006}, date : 30.2.2016}
{ id : 379, company : 'Mercedes', value : { symbol :>=', value :66.817225}, variation : { symbol := , value :64.589373}, date : 6.4.2013}
{ id : 380, company : 'Telekom', value : { symbol :=', value :61.497848}, variation : { symbol :> , value :9.662160}, date : 26.3.2035}
{ id : 381, company : 'Asus', value : { symbol :>', value :51.368755}, variation : { symbol :>= , value :19.882809}, date : 15.5.2016}
{ id : 382, company : 'VW', value : { symbol :>=', value :59.578234}, variation : { symbol :>= , value :77.858821}, date : 31.5.2001}
{ id : 383, company : 'Bing', value : { symbol :<=', value :26.847133}, variation : { symbol :>= , value :99.301126}, date : 23.5.1999}
{ id : 384, company : 'Electionics Arts', value : { symbol :>=', value :43.891720}, variation : { symbol :<= , value :24.796289}, date : 18.9.2023}
{ id : 385, company : 'Acer', value : { symbol :<=', value :71.321757}, variation : { symbol :> , value :99.136326}, date : 4.10.2010}
{ id : 386, company : 'Ubisoft', value : { symbol :<=', value :47.087008}, variation : { symbol :> , value :38.084048}, date : 1.12.2029}
{ id : 387, company : 'Siemens', value : { symbol :<=', value :81.398968}, variation : { symbol := , value :82.686850}, date : 26.4.2002}
{ id : 388, company : 'Mercedes', value : { symbol :>', value :39.124729}, variation : { symbol :> , value :41.065706}, date : 5.3.2034}
{ id : 389, company : 'Zara', value : { symbol :=', value :9.747612}, variation : { symbol :> , value :17.725150}, date : 24.9.2040}
